Phone Name,Review
iphone 15,"So beautiful, so elegant, just a vowww😍❤️READ MORE"
iphone 15,Just go for it.Amazing one.Beautiful camera with super fast processorREAD MORE
iphone 15,High quality camera😍READ MORE
iphone 15,Very niceREAD MORE
iphone 15,"Just loved the product , colour , design is wow and camera is amazing , just clicked first picture of my grandmother 👵🏻  in portrait mode and results r here in front of you guys 😍😘READ MORE"
iphone 15,Camera Quality Is Improved Loving ItREAD MORE
iphone 15,Awesome photography experience. Battery backup is good . Display is much better than 14 version.READ MORE
iphone 15,Best mobile phoneCamera quality is very nice Battery backup is very good Sound quality is amazing.READ MORE
iphone 15,Switch from OnePlus to iPhone I am stunned with camera performance. Everything is perfect on  iPhone 15.READ MORE
iphone 15,Totally happy!Camera 5Battery 5 Display 5Design 5READ MORE
iphone 15,Nice ❤️READ MORE
iphone 15,"Awesome product very happy to hold this. Better In hand feel,matte finish. Good camera, Brighter screen with Dynamic Island, USB-C, great battery life.60Hz display is a dealbreaker for some.Its not much noticeable.Thank u Flipkart for the best deal and quick delivery.READ MORE"
iphone 15,I love this phone. The camera is amazing: its I am so happyREAD MORE
iphone 15,Great!READ MORE
iphone 15,Simply premium.READ MORE
iphone 15,for me its 10 out of 10✨READ MORE
iphone 15,Awesome 🔥🔥☺️READ MORE
iphone 15,best camera and battery is also very good In love with dynamic Island Type-c charging is very fast. Overall best phoneREAD MORE
iphone 15,Awesome camra quality superb camra 😊READ MORE
iphone 15,Nice productREAD MORE
iphone 15,Simply Awesome 🤩READ MORE
iphone 15,A Perfect Smartphone 😍❤️👌👌READ MORE
iphone 15,This is my first iphone ever used loving it already this is worth it 🥰READ MORE
iphone 15,Nice 🙂🙂🙂🙂🙂READ MORE
iphone 15,Camera is just wow. All classes clicks are done at night....phone Performance is awesome.... I'm writing now again for review...it's really maintained its premium imageREAD MORE
iphone 15,Their is nothing to explain about Apple iPhone nowadays everyone knows when ur comes to iPhone 15 is just amazing 🔥READ MORE
iphone 15,"The iPhone 15 exceeded my expectations in every way possible. The sleek design, stunning display, and lightning-fast performance make it a standout device in the smartphone market. The camera quality is unparalleled, capturing every moment with incredible detail and clarity. Plus, the battery life is impressive, easily lasting me throughout the day. With the added bonus of a great deal and discount, purchasing the iPhone 15 from Flipkart was an absolute steal.READ MORE"
iphone 15,Awesome phone powerful performance and battery backup are also very good no heating issue ☺️READ MORE
iphone 15,moving from android to apple is a surreal experience. still apple could focus on more flexibility towards the apps.READ MORE
iphone 15,Awesome quality I am very happy. Thank you Flipkart.READ MORE
iphone 15,Camera 🔥READ MORE
iphone 15,Thanks Flipkart I m glad such a beautiful iPhone 15READ MORE
iphone 15,48 megapixel is lit🔥Thin bessels compared to 14Lesser in weightDynamic Island works perfectlyGood battery backup ⚡My rating 5/5READ MORE
iphone 15,Using this Iphone 15 from 1month and it has best CameraREAD MORE
iphone 15,Nice phone goodREAD MORE
iphone 15,Simply wow wow wow 😍❤️READ MORE
iphone 15,It looks so good in my hand !.......WAU?READ MORE
iphone 15,It's performance is super and nice camera also a ok battery backup..READ MORE
iphone 15,Absolutely premium product..just wowREAD MORE
iphone 15,A perfect n balanced phone ❣️. Was thinking of switching to ios from last two years and yeah its worth buying the black beauty 🖤.READ MORE
iphone 15,AwesomeREAD MORE
iphone 15,Very nice product☺️☺️we loved the phone very muchREAD MORE
iphone 15,Such a amazing phone 🫶🏻READ MORE
iphone 15,"Great Experience Flipkart I am giving 10 of 10 Camera, Sound, Screen... Transportation Mi note 9 pro Max to Iphone 15 .READ MORE"
iphone 15,Best for regular usageREAD MORE
iphone 15,I was sceptical of online purchase but I was wrong I got what I ordered Best phone everREAD MORE
iphone 15,Camera quality top notch 👍READ MORE
iphone 15,"Just upgraded from iphone 12 to 15 and I totally loved this 15 series.Camera:- No doubt iphones camera are best of any other smartphone, primary camera is now 48mp which gives quite sharp images, 2x in portrait mode is definitely a game changer in base varient.Battery:- 3349 mAH is quite better as compared to older versions.Performance:- Apple improve performance by introducing A-16 bionic chip, no doubt performance is on top.Display:- In display we get dynamic island which gives phone mo...READ MORE"
iphone 15,Pic Quality AwesomeREAD MORE
iphone 15,Awesome...READ MORE
iphone 15,Absolutely gorgeous 😻READ MORE
iphone 15,Camera is good but not too good like other camera phone.Performance is good but missed 90hz display.Battery is good enough for a day use.Sound is quite awesome like no other phonesRest phone is good to go for.READ MORE
iphone 15,Nice 👌READ MORE
iphone 15,Super Good ProductREAD MORE
iphone 15,It's amazing nd also the delivery boy was very humble.READ MORE
iphone 15,Best in class..! Superb camera and performance. Fine grip.READ MORE
iphone 15,Loved this product ❤️❤️READ MORE
iphone 15,awesome camera looks like Captured DSLR quality Sounds quality bestBattery backup is good not better and bestAbout performance i have no wordsREAD MORE
iphone 15,Really its the best and richest design 😍READ MORE
iphone 15,"Just ok like any other premium android phone. Sound is just fantastic and face unlock feature is more convenient than fingerprint scanner. Battery backup is more than android 5000 mah battery. This is my frist iPhone, migrated from android due to chipset heating problem in Google tensor chip and Samsung exonys processsor.READ MORE"
iphone 15,Camera is so goodREAD MORE
iphone 15,I have been using this phone since two months.And this phone is amazing.  Camera- 10/10Display- 10/10Performance- 10/10Battery- 9.5/10READ MORE
iphone 15,Switch from android to iPhone😍Just wow. Camera and battery backup is outstanding for daily useREAD MORE
iphone 15,Writing this review after extensive usage. Hope it helps interested buyers decide.1. Display:- 4/5 (Great display but limited to 60Hz in 2023-24)2. Camera:- 4/5 (Great cameras but no telephoto at this price segment but this time Apple really nailed it with the 15 series 24mp shots are very sharp and detailed)3. Performance:- 5/5 (One of the fastest SOC available right now)4. Battery:- 3/5 (Average battery life also charger not included in the box and still charges slowly with the 20w bric...READ MORE
iphone 15,"This mobile is phenomenal, I like the camera mostREAD MORE"
iphone 15,Love the performance 👍READ MORE
iphone 15,NiceREAD MORE
iphone 15,As Expected 🤣😂🫣READ MORE
iphone 15,The camera quality is just awesome ..just like DSLRREAD MORE
iphone 15,"Coming from an iPhone 11, the upgrade is not completely unnecessary. I can see few daily improvements which impacts me personally. The battery back up is a good upgrade. The cameras are obviously better. The Dynamic Island is alright but not something I cannot live without. Face ID works smoother. I am not into games, so no comments on that. For a regular person, this phone is more than enough. And for people with other Apple devices, this is just an awesome part of the ecosystem.READ MORE"
iphone 15,Light weight phone. Camera and sound is fine and performance is highly appreciable.READ MORE
